screen_version,canonical_id,symbol,name,screen_path,rank_2023,rank_2024,rank_2025,rank_2026,screen_rating,execution_action,key_reason
v2,HYPE|Hyperliquid,HYPE,Hyperliquid,路径B：新上位,,,23,8,高优先级,只跟踪,"永续交易基础设施，产品驱动强，零一级融资污染；即使已到 top10，扣掉高位折扣后仍保留高优先级。"
v2,CC|Canton,CC,Canton,路径B：新上位,,,,14,高优先级（需验证）,只跟踪,"机构区块链基础设施，无预挖、burn-mint、Linux Foundation 管理；主线很强，但历史太短，需验证。"
v2,MORPHO|Morpho,MORPHO,Morpho,路径B：新上位,,,130,52,高优先级锚点,只跟踪,"借贷基础设施位置清楚，TVL 与使用证据强，是当前最稳的 DeFi 正例之一。"
v2,AERO|Aerodrome Finance,AERO,Aerodrome Finance,路径B：新上位,,,106,90,高优先级锚点,只跟踪,"Base 流动性基础设施，入口位置清楚；供给项保守处理后仍保留高优先级锚点。"
v2,JUP|Jupiter,JUP,Jupiter,路径B：新上位,934,96,51,65,观察级（由高优先级降级）,只跟踪,"2025→2026 排名恶化是硬事实；项目位置仍在，但不该维持原高优先级。"
v2,JTO|Jito,JTO,Jito,路径B：新上位,,230,81,148,观察级（由高优先级讨论降级）,只跟踪,"从 #81 回落到 #148，排名恶化已足够把执行层和评分层一起压低。"
v2,SUI|Sui,SUI,Sui,路径B：新上位,,59,16,19,观察级,只跟踪,"新公链生态仍成立，但已在高位区间，续涨空间要打折。"
v2,ASSET_TETHER_GOLD,XAUt,Tether Gold,路径A：有历史爬升,197,154,72,24,观察级,只跟踪,"XAUt 视为 XAUT 连续体；黄金锚定主线成立，路径清晰。"
v2,PAXG|PAX Gold,PAXG,PAX Gold,路径A：有历史爬升,72,188,84,27,观察级,只跟踪,"黄金锚定路径仍成立，中间波动大，但长期方向清晰。"
v2,BGB|Bitget Token,BGB,Bitget Token,路径A：有历史爬升,196,87,22,38,观察级,只跟踪,"平台币二阶筛选正例，但 2025→2026 已出现回落，不宜继续给满格。"
v2,ONDO|Ondo,ONDO,Ondo,路径B：新上位,,113,29,42,观察级,只跟踪,"RWA 龙头之一，但从 #29 回落到 #42，高位折扣后保留观察级。"
v2,ENA|Ethena,ENA,Ethena,路径B：新上位,,,55,47,观察级（供给红灯）,只跟踪,"产品线成立，但低流通与供给压力仍在。"
v2,TAO|Bittensor,TAO,Bittensor,路径B：新上位,,30,36,31,观察级,只跟踪,"二级承接与 AI 叙事仍强，但高位横盘已持续较久。"
v2,ASSET_MANTLE,MNT,Mantle,路径B：新上位,,41,33,30,观察级,只跟踪,"修正 identity bug 后，Mantle 路径是连续改善，不再是 #596 异常反弹；保留观察级。"
v2,ASSET_SKY_MAKER,SKY,Sky,路径A：有历史爬升,47,49,59,34,观察级（identity fix）,只跟踪,"SKY 视为 Maker 连续体，不能再用‘身份不清’硬排。"
v2,ASSET_MAPLE,SYRUP,Maple Finance,路径B：新上位,583,530,262,100,观察级（待 Hard fail 核实）,只跟踪,"Maple 连续体路径成立，但信任/结构风险仍待继续核实。"
v2,ASSET_RENDER,RENDER,Render,路径A：有历史爬升,76,31,45,48,观察级,只跟踪,"Render 连续体成立；属创新先行型资产，现阶段只保留观察级。"
v2,ASSET_FET_ASI,FET,Artificial Superintelligence Alliance,路径A：有历史爬升,99,54,54,77,观察级,只跟踪,"AI 主线仍在，但相对高点已回落，创新分层效应开始体现。"
